,Toll Date,Toll Hour,Toll 10 Minute Block,Minute of Hour,Hour of Day,Day of Week Int,Day of Week,Toll Week,Time Period,Vehicle Class,Detection Group,Detection Region,CRZ Entries,Excluded Roadway Entries
28,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Queens Midtown Tunnel,Queens,1,0
29,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Lincoln Tunnel,New Jersey,1,0
30,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Holland Tunnel,New Jersey,1,0
31,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,FDR Drive at 60th St,FDR Drive,1,0
32,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,East 60th St,East 60th St,1,0
33,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Williamsburg Bridge,Brooklyn,0,0
34,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Manhattan Bridge,Brooklyn,0,0
35,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Hugh L. Carey Tunnel,Brooklyn,2,0
36,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,4 - Buses,Brooklyn Bridge,Brooklyn,0,0
37,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,West Side Highway at 60th St,West Side Highway,0,0
38,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,West 60th St,West 60th St,1,0
39,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,Queensboro Bridge,Queens,1,0
40,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,Queens Midtown Tunnel,Queens,0,0
41,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,Lincoln Tunnel,New Jersey,0,0
42,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,Holland Tunnel,New Jersey,0,0
43,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,FDR Drive at 60th St,FDR Drive,0,0
44,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,East 60th St,East 60th St,1,0
45,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,Williamsburg Bridge,Brooklyn,0,0
46,03/29/2025,03/29/2025 11:00:00 PM,03/29/2025 11:50:00 PM,50,23,7,Saturday,03/23/2025,Overnight,3 - Multi-Unit Trucks,Manhattan Bridge,Brooklyn,0,0
